Image,labels
912bb259-3ad9-457b-9db1-ce1da9016057,0
b166d305-b852-4bdd-83f4-465b20da94fa,0
68f5a29d-0075-4d60-81c1-ab684a82e50c,0
f6a309d7-d247-446a-9b5e-aceefdd4334d,0
2c2b3a6f-15b3-4289-937a-15482d9f5781,0
5e8d17b2-f8e7-403b-bbb1-fa8dfdd3ae6a,0
ed2f3144-6eeb-47a8-855b-76df8774f39b,0
570bbec2-55e6-4e8b-834c-dfa45bea3e94,0
1f99d362-7518-43c9-b50d-c28769512db8,0
30ea4203-cc60-46fd-9554-5e72ad63c30e,0
990e5b83-ceed-4278-8292-3508de709b3f,0
3e700953-0241-4438-b644-402829904239,0
dd1df6e6-aa24-417e-8f39-6a7adb85d501,0
501f151f-067c-4cbb-9ee9-5cce9870f5fa,0
0ba37ad2-caf9-498b-8f60-634c6a05a798,0
ad20ee4a-5318-4bad-8def-69da584a18b3,0
8bf7ff45-0ddd-4911-a947-9f8913e02799,0
94cf20e2-8ee2-4b16-99e5-5a41de67642f,0
15bbc76e-4765-4ca8-9178-2f349458f6dd,0
e47abda6-0e01-4359-97c4-0c15e582ab60,0
b8c0f58f-0e32-4d70-8567-ab89c2725b70,0
9267630a-85f0-49c1-9bd7-dbe9e2346fdc,0
f133c606-e60e-4944-bda4-9b0e09e0801c,0
8be10176-418d-4e0a-8319-f5e6e4fe7fc2,0
d16e4be9-3311-4df5-83f5-2dabd095cd50,0
bd9568ef-58e0-477c-9787-7c5955f65412,0
eaa6e438-9b07-4861-a525-7afc5661301a,0
6a00aa2d-276c-4e51-b4fe-26417d406765,0
d4e7f433-adf1-41ce-a2fa-e196c3db705d,0
6d9a2cc7-a9e9-46c1-8a44-f1a4a2b83982,0
1f7fde3b-0d51-4039-ad4a-262e53a7c9a0,0
59c9cac7-239e-4c22-a602-4d4bacf17025,0
b2fa3937-ac6f-42d8-af01-eb493408eda1,0
ad9b5dab-4531-47ac-8290-fc647a12c201,0
7af36058-ba20-43a1-8ba7-a217c491cdf0,0
37052516-024c-4b12-9048-682001f70112,0
369679cd-a3b5-4721-8186-6d545b3d1430,0
5b3d1f41-ed87-4010-82df-9069bd704f66,0
f6e8ae20-1caa-4861-8064-f9893fa5b0c9,0
e7b06028-cb9c-4b9b-8cf7-7d9b67158d3d,0
ebbd6126-098e-425e-994e-a97bd6bf158f,0
1fdb961b-52cf-4390-8f58-cdf9b1b32003,0
876f1b35-33a8-46dc-acf8-d3de08f33066,0
4ad195b5-2745-4ee0-a9f8-98fcc57d376d,0
fc31f446-f3fb-4552-b585-d413a6a4cca3,0
c53a7489-6a76-43f9-8b83-aebb9523185c,0
44e02d2b-eea5-485a-b59f-667407160a06,0
f8945e45-209a-43ea-92ee-6104a924e5c4,0
22678487-4f83-4e4f-aa27-5b78690ed6f9,0
cf54ca20-6809-4424-ba82-e5f30a253646,0
f15aa8d7-8566-4c14-8ebd-136afdd56eff,0
ea50f61a-248e-4815-bbb0-c57c859c3377,0
bb641697-c5cc-4922-929f-b4fbae336084,0
51a92e3e-d158-433b-abf3-825b776d347f,0
e53ea82a-a3dd-46c6-a954-e9d96b84f2a3,0
98624829-36ab-4694-a6b9-30d5d1d743b7,0
978bac46-62fc-482d-b1d7-7ebca2efff11,0
ff887f62-01ac-4b5a-bcab-0ad2f328424a,0
4794e3ac-d1d8-4bd3-914e-701692552dcd,0
2326f745-cb46-4cd9-ba13-36f7b8f2af6b,0
a8a29571-d6b2-426e-9643-e33286b9c11b,0
a04f1742-1b1b-4136-994e-9a7591face37,0
